Title,Title (alphabetical),Age,Gender,Party/group,Peerage type,Eligible,Eligibility status,Start date,Length of service (years)
Lord Aberdare,"Aberdare, L.",77,Male,Crossbench,Excepted hereditary,Current member,True,2009-07-20 00:00:00,14
Baroness Adams of Craigielea,"Adams of Craigielea, B.",76,Female,Labour,Life peer,Current member,True,2005-06-28 00:00:00,19
Lord Addington,"Addington, L.",60,Male,Liberal Democrat,Excepted hereditary,Current member,True,1986-06-17 00:00:00,38
Lord Adebowale,"Adebowale, L.",61,Male,Crossbench,Life peer,Current member,True,2001-06-30 00:00:00,23
Lord Adonis,"Adonis, L.",61,Male,Labour,Life peer,Current member,True,2005-05-16 00:00:00,19
Lord Agnew of Oulton,"Agnew of Oulton, L.",63,Male,Conservative,Life peer,Current member,True,2017-10-19 00:00:00,6
Lord Ahmad of Wimbledon,"Ahmad of Wimbledon, L.",56,Male,Conservative,Life peer,Current member,True,2011-01-13 00:00:00,13
Lord Alderdice,"Alderdice, L.",69,Male,Liberal Democrat,Life peer,Current member,True,1996-10-08 00:00:00,27
Lord Allan of Hallam,"Allan of Hallam, L.",58,Male,Liberal Democrat,Life peer,Current member,True,2010-07-22 00:00:00,13
Lord Allen of Kensington,"Allen of Kensington, L.",67,Male,Labour,Life peer,Current member,True,2013-10-02 00:00:00,10
Lord Alli,"Alli, L.",59,Male,Labour,Life peer,Current member,True,1998-07-18 00:00:00,25
Lord Alliance,"Alliance, L.",92,Male,Liberal Democrat,Life peer,Current member,True,2004-07-01 00:00:00,20
Baroness Altmann,"Altmann, B.",68,Female,Conservative,Life peer,Current member,True,2015-05-19 00:00:00,9
Lord Alton of Liverpool,"Alton of Liverpool, L.",73,Male,Crossbench,Life peer,Current member,True,1997-06-12 00:00:00,27
Lord Altrincham,"Altrincham, L.",58,Male,Conservative,Excepted hereditary,Current member,True,2021-06-23 00:00:00,3
Baroness Amos,"Amos, B.",70,Female,Labour,Life peer,Current member,True,1997-09-24 00:00:00,26
Lord Anderson of Ipswich,"Anderson of Ipswich, L.",63,Male,Crossbench,Life peer,Current member,True,2018-07-10 00:00:00,6
Baroness Anderson of Stoke-on-Trent,"Anderson of Stoke-on-Trent, B.",45,Female,Labour,Life peer,Current member,True,2022-11-18 00:00:00,1
Lord Anderson of Swansea,"Anderson of Swansea, L.",85,Male,Labour,Life peer,Current member,True,2005-06-28 00:00:00,19
Baroness Andrews,"Andrews, B.",81,Female,Labour,Life peer,Current member,True,2000-05-09 00:00:00,24
Baroness Anelay of St Johns,"Anelay of St Johns, B.",76,Female,Conservative,Life peer,Current member,True,1996-10-14 00:00:00,27
